"","station_nm","agency_cd","site_no","dec_lat_va","dec_lon_va","hucCd","OrganizationIdentifier","OrganizationFormalName","MonitoringLocationIdentifier","MonitoringLocationName","MonitoringLocationTypeName","MonitoringLocationDescriptionText","HUCEightDigitCode","DrainageAreaMeasure.MeasureValue","DrainageAreaMeasure.MeasureUnitCode","ContributingDrainageAreaMeasure.MeasureValue","ContributingDrainageAreaMeasure.MeasureUnitCode","LatitudeMeasure","LongitudeMeasure","SourceMapScaleNumeric","HorizontalAccuracyMeasure.MeasureValue","HorizontalAccuracyMeasure.MeasureUnitCode","HorizontalCollectionMethodName","HorizontalCoordinateReferenceSystemDatumName","VerticalMeasure.MeasureValue","VerticalMeasure.MeasureUnitCode","VerticalAccuracyMeasure.MeasureValue","VerticalAccuracyMeasure.MeasureUnitCode","VerticalCollectionMethodName","VerticalCoordinateReferenceSystemDatumName","CountryCode","StateCode","CountyCode","AquiferName","FormationTypeText","AquiferTypeName","ConstructionDateText","WellDepthMeasure.MeasureValue","WellDepthMeasure.MeasureUnitCode","WellHoleDepthMeasure.MeasureValue","WellHoleDepthMeasure.MeasureUnitCode","ProviderName"
"367","BFFM-1","21AWIC","21AWIC-280",34.91949,-86.62194,"06030002","21AWIC","ALABAMA DEPT. OF ENVIRONMENTAL MANAGEMENT - WATER QUALITY DATA","21AWIC-280","BFFM-1","River/Stream","Brier Fk at Unnamed Cty Rd. near Hazel Green & Shiloh Ch. (SW 1/4, Sec 27)","06030002",NA,NA,NA,NA,34.91949,-86.62194,NA,NA,NA,"Unknown","UNKWN",NA,NA,NA,NA,NA,NA,"US","01","089",NA,NA,NA,NA,NA,NA,NA,NA,"STORET"
"368","NMBB-1","21AWIC","21AWIC-2800",31.819113,-86.490409,"03140303","21AWIC","ALABAMA DEPT. OF ENVIRONMENTAL MANAGEMENT - WATER QUALITY DATA","21AWIC-2800","NMBB-1","River/Stream","Ninemile Branch at  Honoraville Rd","03140303",NA,NA,NA,NA,31.819113,-86.490409,24000,NA,NA,"Interpolation-Map","NAD83",NA,NA,NA,NA,NA,NA,"US","01","013",NA,NA,NA,NA,NA,NA,NA,NA,"STORET"
"369","NOBM-351","21AWIC","21AWIC-2802",34.4143,-87.0578,"06030002","21AWIC","ALABAMA DEPT. OF ENVIRONMENTAL MANAGEMENT - WATER QUALITY DATA","21AWIC-2802","NOBM-351","River/Stream","at AL 36","06030002",NA,NA,NA,NA,34.4143,-87.0578,NA,NA,NA,"Unknown","UNKWN",NA,NA,NA,NA,NA,NA,"US","01","103",NA,NA,NA,NA,NA,NA,NA,NA,"STORET"
"370","BFFM-2","21AWIC","21AWIC-281",34.87594,-86.57042,"06030002","21AWIC","ALABAMA DEPT. OF ENVIRONMENTAL MANAGEMENT - WATER QUALITY DATA","21AWIC-281","BFFM-2","River/Stream","Brier Fk at AL. HWY 231/431 Bridge (SW 1/4, Sec 7, T2S R1E)","06030002",NA,NA,NA,NA,34.87594,-86.57042,NA,NA,NA,"Unknown","UNKWN",NA,NA,NA,NA,NA,NA,"US","01","089",NA,NA,NA,NA,NA,NA,NA,NA,"STORET"
"371","BFFM-5","21AWIC","21AWIC-283",34.82279,-86.48555,"06030002","21AWIC","ALABAMA DEPT. OF ENVIRONMENTAL MANAGEMENT - WATER QUALITY DATA","21AWIC-283","BFFM-5","River/Stream","Brier Fk at Unnamed Cty Rd.(Riverton Rd)  just u/s of Flint River Confluence","06030002",NA,NA,NA,NA,34.82279,-86.48555,NA,NA,NA,"Unknown","UNKWN",NA,NA,NA,NA,NA,NA,"US","01","089",NA,NA,NA,NA,NA,NA,NA,NA,"STORET"
"372","PEAB-1","21AWIC","21AWIC-2844",31.71453,-85.70666,"03140202","21AWIC","ALABAMA DEPT. OF ENVIRONMENTAL MANAGEMENT - WATER QUALITY DATA","21AWIC-2844","PEAB-1","River/Stream","Pea River at AL Hwy 10 crossing","03140202",NA,NA,NA,NA,31.71453,-85.70666,NA,NA,NA,"GPS-Unspecified","NAD83",NA,NA,NA,NA,NA,NA,"US","01","005",NA,NA,NA,NA,NA,NA,NA,NA,"STORET"
"373","PECB-2","21AWIC","21AWIC-2854",31.796621,-85.653031,"03140202","21AWIC","ALABAMA DEPT. OF ENVIRONMENTAL MANAGEMENT - WATER QUALITY DATA","21AWIC-2854","PECB-2","River/Stream","Pea Creek at  County Hwy 9","03140202",NA,NA,NA,NA,31.796621,-85.653031,24000,NA,NA,"Interpolation-Map","NAD83",NA,NA,NA,NA,NA,NA,"US","01","005",NA,NA,NA,NA,NA,NA,NA,NA,"STORET"
"374","CANW-2","21AWIC","21AWIC-286",33.69573,-87.35171,"03160109","21AWIC","ALABAMA DEPT. OF ENVIRONMENTAL MANAGEMENT - WATER QUALITY DATA","21AWIC-286","CANW-2","River/Stream","Cane Cr @ Dixie Springs Road","03160109",NA,NA,NA,NA,33.69573,-87.35171,NA,NA,NA,"GPS-Unspecified","UNKWN",NA,NA,NA,NA,NA,NA,"US","01","127",NA,NA,NA,NA,NA,NA,NA,NA,"STORET"
"375","BVDM-17","21AWIC","21AWIC-287",34.8377,-86.5712,"06030002","21AWIC","ALABAMA DEPT. OF ENVIRONMENTAL MANAGEMENT - WATER QUALITY DATA","21AWIC-287","BVDM-17","River/Stream","Beaverdam Cr at Highway 431 Bridge","06030002",NA,NA,NA,NA,34.8377,-86.5712,NA,NA,NA,"Unknown","UNKWN",NA,NA,NA,NA,NA,NA,"US","01","089",NA,NA,NA,NA,NA,NA,NA,NA,"STORET"
"376","PICL-11","21AWIC","21AWIC-2870",34.80806,-87.70056,"06030005","21AWIC","ALABAMA DEPT. OF ENVIRONMENTAL MANAGEMENT - WATER QUALITY DATA","21AWIC-2870","PICL-11","River/Stream","Lauderdale Co. Rd. 14","06030005",NA,NA,NA,NA,34.80806,-87.70056,NA,NA,NA,"Unknown","UNKWN",NA,NA,NA,NA,NA,NA,"US","01","077",NA,NA,NA,NA,NA,NA,NA,NA,"STORET"
"377","PLSB-1","21AWIC","21AWIC-2878",31.762253,-85.492712,"03140201","21AWIC","ALABAMA DEPT. OF ENVIRONMENTAL MANAGEMENT - WATER QUALITY DATA","21AWIC-2878","PLSB-1","River/Stream","Pauls Creek at  County Road 20","03140201",NA,NA,NA,NA,31.762253,-85.492712,24000,NA,NA,"Interpolation-Map","NAD83",NA,NA,NA,NA,NA,NA,"US","01","005",NA,NA,NA,NA,NA,NA,NA,NA,"STORET"
"378","PND-3","21AWIC","21AWIC-2880",34.758131,-87.602119,"06030005","21AWIC","ALABAMA DEPT. OF ENVIRONMENTAL MANAGEMENT - WATER QUALITY DATA","21AWIC-2880","PND-3","River/Stream","Pond Creek at Second Street (AKA Ala Hwy 184) at man's driveway.  (NE1/4 of Section 32)","06030005",NA,NA,NA,NA,34.758131,-87.602119,NA,NA,NA,"GPS-Unspecified","NAD83",NA,NA,NA,NA,NA,NA,"US","01","033",NA,NA,NA,NA,NA,NA,NA,NA,"STORET"
"379","PNRB-1","21AWIC","21AWIC-2882",31.631687,-86.767292,"03140303","21AWIC","ALABAMA DEPT. OF ENVIRONMENTAL MANAGEMENT - WATER QUALITY DATA","21AWIC-2882","PNRB-1","River/Stream","Panther Creek at W Mill St","03140303",NA,NA,NA,NA,31.631687,-86.767292,24000,NA,NA,"Interpolation-Map","NAD83",NA,NA,NA,NA,NA,NA,"US","01","013",NA,NA,NA,NA,NA,NA,NA,NA,"STORET"
"380","PSGP-1","21AWIC","21AWIC-2903",31.831904,-86.183144,"03140302","21AWIC","ALABAMA DEPT. OF ENVIRONMENTAL MANAGEMENT - WATER QUALITY DATA","21AWIC-2903","PSGP-1","River/Stream","Patsaliga Creek at  County Road 30","03140302",NA,NA,NA,NA,31.831904,-86.183144,24000,NA,NA,"Interpolation-Map","NAD83",NA,NA,NA,NA,NA,NA,"US","01","041",NA,NA,NA,NA,NA,NA,NA,NA,"STORET"
"381","PSYF-1","21AWIC","21AWIC-2908",34.306695,-87.591863,"06030006","21AWIC","ALABAMA DEPT. OF ENVIRONMENTAL MANAGEMENT - WATER QUALITY DATA","21AWIC-2908","PSYF-1","River/Stream","Posey Cr @ Franklin Co Rd 11.","06030006",NA,NA,NA,NA,34.306695,-87.591863,24000,NA,NA,"Interpolation-Map","NAD83",NA,NA,NA,NA,NA,NA,"US","01","059",NA,NA,NA,NA,NA,NA,NA,NA,"STORET"
"382","PTSH-1","21AWIC","21AWIC-2912",31.197494,-85.681372,"03140201","21AWIC","ALABAMA DEPT. OF ENVIRONMENTAL MANAGEMENT - WATER QUALITY DATA","21AWIC-2912","PTSH-1","River/Stream","Pates Creek at  Hill Top Rd","03140201",NA,NA,NA,NA,31.197494,-85.681372,24000,NA,NA,"Interpolation-Map","NAD83",NA,NA,NA,NA,NA,NA,"US","01","069",NA,NA,NA,NA,NA,NA,NA,NA,"STORET"
"383","QTRW-1","21AWIC","21AWIC-2918",34.283064,-87.618642,"06030006","21AWIC","ALABAMA DEPT. OF ENVIRONMENTAL MANAGEMENT - WATER QUALITY DATA","21AWIC-2918","QTRW-1","River/Stream","Quarter Cr @ Winston CR 54.","06030006",NA,NA,NA,NA,34.283064,-87.618642,24000,NA,NA,"Interpolation-Map","NAD83",NA,NA,NA,NA,NA,NA,"US","01","133",NA,NA,NA,NA,NA,NA,NA,NA,"STORET"
"384","RBNM-1","21AWIC","21AWIC-2921",34.36462,-86.92713,"06030002","21AWIC","ALABAMA DEPT. OF ENVIRONMENTAL MANAGEMENT - WATER QUALITY DATA","21AWIC-2921","RBNM-1","River/Stream","upstream of bridge on Robinson Cr. Rd. --creek closest to lagoons","06030002",NA,NA,NA,NA,34.36462,-86.92713,24000,NA,NA,"Interpolation-Map","NAD83",NA,NA,NA,NA,NA,NA,"US","01","103",NA,NA,NA,NA,NA,NA,NA,NA,"STORET"
"385","RBNM-3","21AWIC","21AWIC-2923",34.357286,-86.894667,"06030002","21AWIC","ALABAMA DEPT. OF ENVIRONMENTAL MANAGEMENT - WATER QUALITY DATA","21AWIC-2923","RBNM-3","River/Stream","Robinson Cr upstream of the Douglas Rd bridge.  1st bridge off of Piney Grove Rd","06030002",NA,NA,NA,NA,34.357286,-86.894667,24000,NA,NA,"Interpolation-Map","NAD83",NA,NA,NA,NA,NA,NA,"US","01","103",NA,NA,NA,NA,NA,NA,NA,NA,"STORET"
"386","RCKC-2","21AWIC","21AWIC-2928",34.6093,-88.06323,"06030006","21AWIC","ALABAMA DEPT. OF ENVIRONMENTAL MANAGEMENT - WATER QUALITY DATA","21AWIC-2928","RCKC-2","River/Stream","@ Colbert Co. Rd. 7 (Sally Burns Rd)","06030006",NA,NA,NA,NA,34.6093,-88.06323,NA,NA,NA,"GPS-Unspecified","NAD83",NA,NA,NA,NA,NA,NA,"US","01","033",NA,NA,NA,NA,NA,NA,NA,NA,"STORET"
"387","CABB-1","21AWIC","21AWIC-293",32.946314,-87.140258,"03150202","21AWIC","ALABAMA DEPT. OF ENVIRONMENTAL MANAGEMENT - WATER QUALITY DATA","21AWIC-293","CABB-1","River/Stream","Cahaba River at AL Hwy 219.","03150202",NA,NA,NA,NA,32.946314,-87.140258,NA,NA,NA,"GPS-Unspecified","UNKWN",NA,NA,NA,NA,NA,NA,"US","01","007",NA,NA,NA,NA,NA,NA,NA,NA,"STORET"
"388","RDIL-1","21AWIC","21AWIC-2935",34.714017,-87.052385,"06030002","21AWIC","ALABAMA DEPT. OF ENVIRONMENTAL MANAGEMENT - WATER QUALITY DATA","21AWIC-2935","RDIL-1","River/Stream","at Limestone CR 20","06030002",NA,NA,NA,NA,34.714017,-87.052385,24000,NA,NA,"Interpolation-Map","NAD83",NA,NA,NA,NA,NA,NA,"US","01","083",NA,NA,NA,NA,NA,NA,NA,NA,"STORET"
"389","RNIL-400","21AWIC","21AWIC-2952",34.7349,-87.0731,"06030002","21AWIC","ALABAMA DEPT. OF ENVIRONMENTAL MANAGEMENT - WATER QUALITY DATA","21AWIC-2952","RNIL-400","River/Stream","Browns Ferry  - Athens Road Bridge","06030002",NA,NA,NA,NA,34.7349,-87.0731,NA,NA,NA,"Unknown","UNKWN",NA,NA,NA,NA,NA,NA,"US","01","083",NA,NA,NA,NA,NA,NA,NA,NA,"STORET"
"390","ROCW-52","21AWIC","21AWIC-2956",34.22613,-87.14102,"03160110","21AWIC","ALABAMA DEPT. OF ENVIRONMENTAL MANAGEMENT - WATER QUALITY DATA","21AWIC-2956","ROCW-52","River/Stream","@ unnamed Winston Co. Rd. 39 nr Addison","03160110",NA,NA,NA,NA,34.22613,-87.14102,NA,NA,NA,"Interpolation-Digital Map Source (Tiger)","NAD83",NA,NA,NA,NA,NA,NA,"US","01","133",NA,NA,NA,NA,NA,NA,NA,NA,"STORET"
"391","LFKB-2","21AWIC","21AWIC-296",33.888486,-86.695319,"03160111","21AWIC","ALABAMA DEPT. OF ENVIRONMENTAL MANAGEMENT - WATER QUALITY DATA","21AWIC-296","LFKB-2","River/Stream","Locust Fork at Armston Loop/Center Springs Rd (Vaughns Bridge)","03160111",NA,NA,NA,NA,33.888486,-86.695319,NA,NA,NA,"GPS-Unspecified","UNKWN",NA,NA,NA,NA,NA,NA,"US","01","009",NA,NA,NA,NA,NA,NA,NA,NA,"STORET"
"392","RYNC-5","21AWIC","21AWIC-2964",34.145222,-86.894861,"03160110","21AWIC","ALABAMA DEPT. OF ENVIRONMENTAL MANAGEMENT - WATER QUALITY DATA","21AWIC-2964","RYNC-5","River/Stream","Ryan Cr at CR 436","03160110",NA,NA,NA,NA,34.145222,-86.894861,NA,NA,NA,"Unknown","UNKWN",NA,NA,NA,NA,NA,NA,"US","01","043",NA,NA,NA,NA,NA,NA,NA,NA,"STORET"
"393","RYNC-6","21AWIC","21AWIC-2965",34.19004,-86.89196,"03160110","21AWIC","ALABAMA DEPT. OF ENVIRONMENTAL MANAGEMENT - WATER QUALITY DATA","21AWIC-2965","RYNC-6","River/Stream","Ryan Cr. at CR 1162","03160110",NA,NA,NA,NA,34.19004,-86.89196,24000,NA,NA,"Interpolation-Map","NAD83",NA,NA,NA,NA,NA,NA,"US","01","043",NA,NA,NA,NA,NA,NA,NA,NA,"STORET"
"394","BLKE-4","21AWIC","21AWIC-297",34.04118,-86.01998,"03150106","21AWIC","ALABAMA DEPT. OF ENVIRONMENTAL MANAGEMENT - WATER QUALITY DATA","21AWIC-297","BLKE-4","River/Stream","Black Cr @ Noccalula Road","03150106",NA,NA,NA,NA,34.04118,-86.01998,NA,NA,NA,"Unknown","UNKWN",NA,NA,NA,NA,NA,NA,"US","01","055",NA,NA,NA,NA,NA,NA,NA,NA,"STORET"
"395","VLGJ-1","21AWIC","21AWIC-298",33.562347,-86.735498,"03160111","21AWIC","ALABAMA DEPT. OF ENVIRONMENTAL MANAGEMENT - WATER QUALITY DATA","21AWIC-298","VLGJ-1","River/Stream","Village Cr @ 75th Street North in Birmingham","03160111",NA,NA,NA,NA,33.562347,-86.735498,NA,NA,NA,"Unknown","UNKWN",NA,NA,NA,NA,NA,NA,"US","01","073",NA,NA,NA,NA,NA,NA,NA,NA,"STORET"
"396","SDYC-1","21AWIC","21AWIC-2981",31.405037,-86.955533,"03140304","21AWIC","ALABAMA DEPT. OF ENVIRONMENTAL MANAGEMENT - WATER QUALITY DATA","21AWIC-2981","SDYC-1","River/Stream","Sandy Creek at  County Hwy 29","03140304",NA,NA,NA,NA,31.405037,-86.955533,24000,NA,NA,"Interpolation-Map","NAD83",NA,NA,NA,NA,NA,NA,"US","01","035",NA,NA,NA,NA,NA,NA,NA,NA,"STORET"
"397","SGCB-1","21AWIC","21AWIC-2989",31.991717,-85.60669,"03140202","21AWIC","ALABAMA DEPT. OF ENVIRONMENTAL MANAGEMENT - WATER QUALITY DATA","21AWIC-2989","SGCB-1","River/Stream","At Bucllock Co Rd 14","03140202",NA,NA,NA,NA,31.991717,-85.60669,NA,NA,NA,"GPS-Unspecified","NAD83",NA,NA,NA,NA,NA,NA,"US","01","011",NA,NA,NA,NA,NA,NA,NA,NA,"STORET"
"398","SHKC-1","21AWIC","21AWIC-2993",31.488959,-87.049937,"03140304","21AWIC","ALABAMA DEPT. OF ENVIRONMENTAL MANAGEMENT - WATER QUALITY DATA","21AWIC-2993","SHKC-1","River/Stream","Shack Creek at  County Hwy 4","03140304",NA,NA,NA,NA,31.488959,-87.049937,24000,NA,NA,"Interpolation-Map","NAD83",NA,NA,NA,NA,NA,NA,"US","01","035",NA,NA,NA,NA,NA,NA,NA,NA,"STORET"
"399","SHLM-1","21AWIC","21AWIC-2996",34.3891,-86.42502,"06030002","21AWIC","ALABAMA DEPT. OF ENVIRONMENTAL MANAGEMENT - WATER QUALITY DATA","21AWIC-2996","SHLM-1","River/Stream","@ Marshall Co. Rd. 240.","06030002",NA,NA,NA,NA,34.3891,-86.42502,NA,NA,NA,"GPS-Unspecified","NAD83",NA,NA,NA,NA,NA,NA,"US","01","095",NA,NA,NA,NA,NA,NA,NA,NA,"STORET"
"400","RYNC-1","21AWIC","21AWIC-300",34.08764,-86.92287,"03160110","21AWIC","ALABAMA DEPT. OF ENVIRONMENTAL MANAGEMENT - WATER QUALITY DATA","21AWIC-300","RYNC-1","River/Stream","Ryan Cr ~1/4 mile South of Co Rd 438/18, below mouth of Bavar Cr,","03160110",NA,NA,NA,NA,34.08764,-86.92287,NA,NA,NA,"Unknown","UNKWN",NA,NA,NA,NA,NA,NA,"US","01","043",NA,NA,NA,NA,NA,NA,NA,NA,"STORET"
"401","SHMD-2","21AWIC","21AWIC-3001",34.302607,-86.020323,"06030001","21AWIC","ALABAMA DEPT. OF ENVIRONMENTAL MANAGEMENT - WATER QUALITY DATA","21AWIC-3001","SHMD-2","River/Stream","Scarham Cr @ Co Rd 28.","06030001",NA,NA,NA,NA,34.302607,-86.020323,24000,NA,NA,"Interpolation-Map","NAD83",NA,NA,NA,NA,NA,NA,"US","01","049",NA,NA,NA,NA,NA,NA,NA,NA,"STORET"
"402","RYNC-2","21AWIC","21AWIC-301",34.12175,-86.90082,"03160110","21AWIC","ALABAMA DEPT. OF ENVIRONMENTAL MANAGEMENT - WATER QUALITY DATA","21AWIC-301","RYNC-2","River/Stream","Ryan Cr @ Co Rd 36,","03160110",NA,NA,NA,NA,34.12175,-86.90082,NA,NA,NA,"Unknown","UNKWN",NA,NA,NA,NA,NA,NA,"US","01","043",NA,NA,NA,NA,NA,NA,NA,NA,"STORET"
"403","RYNC-3","21AWIC","21AWIC-302",34.17271,-86.89104,"03160110","21AWIC","ALABAMA DEPT. OF ENVIRONMENTAL MANAGEMENT - WATER QUALITY DATA","21AWIC-302","RYNC-3","River/Stream","Ryan Cr @ US Hwy 278,","03160110",NA,NA,NA,NA,34.17271,-86.89104,NA,NA,NA,"Unknown","UNKWN",NA,NA,NA,NA,NA,NA,"US","01","043",NA,NA,NA,NA,NA,NA,NA,NA,"STORET"
"404","SPRC-1","21AWIC","21AWIC-305",34.279,-85.59929,"03150105","21AWIC","ALABAMA DEPT. OF ENVIRONMENTAL MANAGEMENT - WATER QUALITY DATA","21AWIC-305","SPRC-1","River/Stream","Spring Cr @ Co. Rd. 41 in","03150105",NA,NA,NA,NA,34.279,-85.59929,NA,NA,NA,"Unknown","UNKWN",NA,NA,NA,NA,NA,NA,"US","01","019",NA,NA,NA,NA,NA,NA,NA,NA,"STORET"
"405","STKB-1","21AWIC","21AWIC-3064",31.89639,-85.54111,"03140202","21AWIC","ALABAMA DEPT. OF ENVIRONMENTAL MANAGEMENT - WATER QUALITY DATA","21AWIC-3064","STKB-1","River/Stream","Hwy. 239 Barbour Co.","03140202",NA,NA,NA,NA,31.89639,-85.54111,NA,NA,NA,"Unknown","UNKWN",NA,NA,NA,NA,NA,NA,"US","01","005",NA,NA,NA,NA,NA,NA,NA,NA,"STORET"
"406","WHEL-13","21AWIC","21AWIC-3073",34.66969,-87.002285,"06030002","21AWIC","ALABAMA DEPT. OF ENVIRONMENTAL MANAGEMENT - WATER QUALITY DATA","21AWIC-3073","WHEL-13","River/Stream","Deepest point, main creek channel, Swan Creek embayment, approximately 1 mile downstream of CR 45 bridge.","06030002",NA,NA,NA,NA,34.66969,-87.002285,24000,NA,NA,"Interpolation-Map","NAD83",NA,NA,NA,NA,NA,NA,"US","01","083",NA,NA,NA,NA,NA,NA,NA,NA,"STORET"
"407","SWTL-1","21AWIC","21AWIC-3074",34.802213,-87.654694,"06030005","21AWIC","ALABAMA DEPT. OF ENVIRONMENTAL MANAGEMENT - WATER QUALITY DATA","21AWIC-3074","SWTL-1","River/Stream","Sweetwater Cr @ Union Ave and AL  hwy 133 exit.","06030005",NA,NA,NA,NA,34.802213,-87.654694,24000,NA,NA,"Interpolation-Map","NAD83",NA,NA,NA,NA,NA,NA,"US","01","077",NA,NA,NA,NA,NA,NA,NA,NA,"STORET"
"408","NRRT-2","21AWIC","21AWIC-308",33.56193,-87.630263,"03160112","21AWIC","ALABAMA DEPT. OF ENVIRONMENTAL MANAGEMENT - WATER QUALITY DATA","21AWIC-308","NRRT-2","River/Stream","North R at Co. Rd. 63 ""Gorgas Rd""","03160112",NA,NA,NA,NA,33.56193,-87.630263,NA,NA,NA,"GPS-Unspecified","UNKWN",NA,NA,NA,NA,NA,NA,"US","01","125",NA,NA,NA,NA,NA,NA,NA,NA,"STORET"
"409","VLGJ-2","21AWIC","21AWIC-309",33.543302,-86.791911,"03160111","21AWIC","ALABAMA DEPT. OF ENVIRONMENTAL MANAGEMENT - WATER QUALITY DATA","21AWIC-309","VLGJ-2","River/Stream","Village Cr @ Vanderbilt Rd","03160111",NA,NA,NA,NA,33.543302,-86.791911,NA,NA,NA,"Unknown","UNKWN",NA,NA,NA,NA,NA,NA,"US","01","073",NA,NA,NA,NA,NA,NA,NA,NA,"STORET"
"410","WEIC-9","21AWIC","21AWIC-31",34.177993,-85.682425,"03150105","21AWIC","ALABAMA DEPT. OF ENVIRONMENTAL MANAGEMENT - WATER QUALITY DATA","21AWIC-31","WEIC-9","River/Stream","Deepest point, main creek channel, Big Nose Creek embayment, approx. 0.5 miles upstream of lake confluence.","03150105",NA,NA,NA,NA,34.177993,-85.682425,NA,NA,NA,"Unknown","UNKWN",NA,NA,NA,NA,NA,NA,"US","01","019",NA,NA,NA,NA,NA,NA,NA,NA,"STORET"
"411","VLGJ-3","21AWIC","21AWIC-310",33.52683,-86.849729,"03160111","21AWIC","ALABAMA DEPT. OF ENVIRONMENTAL MANAGEMENT - WATER QUALITY DATA","21AWIC-310","VLGJ-3","River/Stream","Village Cr @ RR Bridge U/S of Arkedelphia Rd ""US Hwy 78""","03160111",NA,NA,NA,NA,33.52683,-86.849729,NA,NA,NA,"Unknown","UNKWN",NA,NA,NA,NA,NA,NA,"US","01","073",NA,NA,NA,NA,NA,NA,NA,NA,"STORET"
"412","VLGJ-4","21AWIC","21AWIC-311",33.521205,-86.889061,"03160111","21AWIC","ALABAMA DEPT. OF ENVIRONMENTAL MANAGEMENT - WATER QUALITY DATA","21AWIC-311","VLGJ-4","River/Stream","Village Cr @ Avenue F in Ensley","03160111",NA,NA,NA,NA,33.521205,-86.889061,NA,NA,NA,"Unknown","UNKWN",NA,NA,NA,NA,NA,NA,"US","01","073",NA,NA,NA,NA,NA,NA,NA,NA,"STORET"
"413","THK-3","21AWIC","21AWIC-3124",33.95745,-86.81897,"03160109","21AWIC","ALABAMA DEPT. OF ENVIRONMENTAL MANAGEMENT - WATER QUALITY DATA","21AWIC-3124","THK-3","River/Stream","Thacker Creek approximately 50 yards upstream of mouth at Mulberry Fork","03160109",NA,NA,NA,NA,33.95745,-86.81897,NA,NA,NA,"Interpolation-Digital Map Source (Tiger)","NAD83",NA,NA,NA,NA,NA,NA,"US","01","043",NA,NA,NA,NA,NA,NA,NA,NA,"STORET"
"414","TKBC-20","21AWIC","21AWIC-3129",32.1739,-88.0627,"03160201","21AWIC","ALABAMA DEPT. OF ENVIRONMENTAL MANAGEMENT - WATER QUALITY DATA","21AWIC-3129","TKBC-20","River/Stream","AL Hwy 114 SW of Pennington (NE 1/4)","03160201",NA,NA,NA,NA,32.1739,-88.0627,NA,NA,NA,"Unknown","UNKWN",NA,NA,NA,NA,NA,NA,"US","01","023",NA,NA,NA,NA,NA,NA,NA,NA,"STORET"
"415","TLRC-1","21AWIC","21AWIC-3132",33.62278,-85.51333,"03150108","21AWIC","ALABAMA DEPT. OF ENVIRONMENTAL MANAGEMENT - WATER QUALITY DATA","21AWIC-3132","TLRC-1","River/Stream","Cleburne Co. Rd. 18","03150108",NA,NA,NA,NA,33.62278,-85.51333,NA,NA,NA,"Unknown","UNKWN",NA,NA,NA,NA,NA,NA,"US","01","029",NA,NA,NA,NA,NA,NA,NA,NA,"STORET"
"416","TMSS-44","21AWIC","21AWIC-3139",32.760813,-88.133365,"03160106","21AWIC","ALABAMA DEPT. OF ENVIRONMENTAL MANAGEMENT - WATER QUALITY DATA","21AWIC-3139","TMSS-44","River/Stream","Toms Creek @ Sumter Co. Rd. 21 crossing.","03160106",NA,NA,NA,NA,32.760813,-88.133365,NA,NA,NA,"GPS-Unspecified","NAD83",NA,NA,NA,NA,NA,NA,"US","01","119",NA,NA,NA,NA,NA,NA,NA,NA,"STORET"
"417","TMSS-45","21AWIC","21AWIC-3140",32.772016,-88.168068,"03160106","21AWIC","ALABAMA DEPT. OF ENVIRONMENTAL MANAGEMENT - WATER QUALITY DATA","21AWIC-3140","TMSS-45","River/Stream","Toms Creek @ AL Hwy 39 crossing.","03160106",NA,NA,NA,NA,32.772016,-88.168068,NA,NA,NA,"GPS-Unspecified","NAD83",NA,NA,NA,NA,NA,NA,"US","01","119",NA,NA,NA,NA,NA,NA,NA,NA,"STORET"
"418","TTHT-2","21AWIC","21AWIC-3156",33.22788,-87.6226,"03160113","21AWIC","ALABAMA DEPT. OF ENVIRONMENTAL MANAGEMENT - WATER QUALITY DATA","21AWIC-3156","TTHT-2","River/Stream","Tater hill Cr @ Old Columbus Rd next to power relay station","03160113",NA,NA,NA,NA,33.22788,-87.6226,NA,NA,NA,"GPS-Unspecified","NAD83",NA,NA,NA,NA,NA,NA,"US","01","125",NA,NA,NA,NA,NA,NA,NA,NA,"STORET"
"419","WOLF-2","21AWIC","21AWIC-316",33.409908,-85.469001,"03150108","21AWIC","ALABAMA DEPT. OF ENVIRONMENTAL MANAGEMENT - WATER QUALITY DATA","21AWIC-316","WOLF-2","River/Stream","Wolf Cr at CR  134 (SW 1/4, Sec 35, )","03150108",NA,NA,NA,NA,33.409908,-85.469001,NA,NA,NA,"GPS-Unspecified","UNKWN",NA,NA,NA,NA,NA,NA,"US","01","111",NA,NA,NA,NA,NA,NA,NA,NA,"STORET"
"420","SPRC-2","21AWIC","21AWIC-317",34.3225,-85.58705,"03150105","21AWIC","ALABAMA DEPT. OF ENVIRONMENTAL MANAGEMENT - WATER QUALITY DATA","21AWIC-317","SPRC-2","River/Stream","Spring Cr AT Co. Rd. 41 in","03150105",NA,NA,NA,NA,34.3225,-85.58705,NA,NA,NA,"Unknown","UNKWN",NA,NA,NA,NA,NA,NA,"US","01","019",NA,NA,NA,NA,NA,NA,NA,NA,"STORET"
"421","TWNM-1","21AWIC","21AWIC-3170",34.459044,-86.798983,"06030002","21AWIC","ALABAMA DEPT. OF ENVIRONMENTAL MANAGEMENT - WATER QUALITY DATA","21AWIC-3170","TWNM-1","River/Stream","Town Cr at Cutoff Rd in btween Co Rd 36 (in Summerville) and AL Hwy 67","06030002",NA,NA,NA,NA,34.459044,-86.798983,24000,NA,NA,"Interpolation-Map","NAD83",NA,NA,NA,NA,NA,NA,"US","01","103",NA,NA,NA,NA,NA,NA,NA,NA,"STORET"
